Sample_name,Category,Type,Ferment,Label,Stage,Timepoint_h,Timepoint_d,Order
Amasi_starter_T0_trip1,Dairy,Starter,Amasi,Amasi,0,0,0,NA
Amasi_starter_T0_trip2,Dairy,Starter,Amasi,Amasi,0,0,0,NA
Amasi_starter_T0_trip3,Dairy,Starter,Amasi,Amasi,0,0,0,NA
Amasi_CM_T0_trip1,Dairy,Milk,Amasi,Amasi,1,0,0,I
Amasi_CM_T0_trip2,Dairy,Milk,Amasi,Amasi,1,0,0,I
Amasi_CM_T0_trip3,Dairy,Milk,Amasi,Amasi,1,0,0,I
Amasi_F_T12_trip1,Dairy,Ferment,Amasi,Amasi,2,12,0.5,NA
Amasi_F_T12_trip2,Dairy,Ferment,Amasi,Amasi,2,12,0.5,NA
Amasi_F_T12_trip3,Dairy,Ferment,Amasi,Amasi,2,12,0.5,NA
Amasi_F_T24_trip1,Dairy,Ferment,Amasi,Amasi,3,24,1,F
Amasi_F_T24_trip2,Dairy,Ferment,Amasi,Amasi,3,24,1,F
Amasi_F_T24_trip3,Dairy,Ferment,Amasi,Amasi,3,24,1,F
Kimchi_ImStarter_T0_trip2,Vegetable,Starter,Kimchi,Baechu Kimchi (S),0,0,0,NA
Kimchi_ImStarter_T0_trip3,Vegetable,Starter,Kimchi,Baechu Kimchi (S),0,0,0,NA
Kimchi_ImVegStarter_T0_trip1,Vegetable,Starter,Kimchi,Baechu Kimchi (VS),0,0,0,NA
Kimchi_ImVegStarter_T0_trip2,Vegetable,Starter,Kimchi,Baechu Kimchi (VS),0,0,0,NA
Kimchi_ImVegStarter_T0_trip3,Vegetable,Starter,Kimchi,Baechu Kimchi (VS),0,0,0,NA
Kimchi_BKNS_T0_trip1,Vegetable,Cabbage,Kimchi,Baechu Kimchi (wNS),1,0,0,I
Kimchi_BKNS_T0_trip2,Vegetable,Cabbage,Kimchi,Baechu Kimchi (wNS),1,0,0,I
Kimchi_BKNS_T0_trip3,Vegetable,Cabbage,Kimchi,Baechu Kimchi (wNS),1,0,0,I
Kimchi_BKNS_T96_trip1,Vegetable,Ferment,Kimchi,Baechu Kimchi (wNS),2,96,4,NA
Kimchi_BKNS_T96_trip2,Vegetable,Ferment,Kimchi,Baechu Kimchi (wNS),2,96,4,NA
Kimchi_BKNS_T96_trip3,Vegetable,Ferment,Kimchi,Baechu Kimchi (wNS),2,96,4,NA
Kimchi_BKNS_T14_trip1,Vegetable,Ferment,Kimchi,Baechu Kimchi (wNS),3,336,14,NA
Kimchi_BKNS_T14_trip2,Vegetable,Ferment,Kimchi,Baechu Kimchi (wNS),3,336,14,NA
Kimchi_BKNS_T14_trip3,Vegetable,Ferment,Kimchi,Baechu Kimchi (wNS),3,336,14,NA
Kimchi_BKNS_T60_trip1,Vegetable,Ferment,Kimchi,Baechu Kimchi (wNS),4,1440,60,F
