"Metabolite","Superclass","Class"
"DIMETHYL SULFOXIDE","Organosulfur compounds","Sulfoxides"
"2-HYDROXYPYRIDINE","Organoheterocyclic compounds","Pyridines and derivatives"
"1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"2-PIPERIDONE","Organoheterocyclic compounds","Piperidines"
"2-AMINOBUTYRIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"MALONIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"SERINE","Organic acids and derivatives","Carboxylic acids and derivatives"
"GLYCERIC ACID","Organic oxygen compounds","Organic oxygen compounds"
"FUMARIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"INDOLE","Organoheterocyclic compounds","Indoles and derivatives"
"SUCCINIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"THREONINE","Organic acids and derivatives","Carboxylic acids and derivatives"
"NICOTINAMIDE","Organoheterocyclic compounds","Pyridines and derivatives"
"TAURINE","Organic acids and derivatives","Sulfonic acids and derivatives"
"NICOTINATE","Other / Unknown",NA
"5,6-DIHYDRO THYMINE","Organoheterocyclic compounds","Diazines"
"PIPECOLIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"2-METHYLMALEIC ACID","Lipids and lipid-like molecules","Fatty Acyls"
"4-HYDROXYPROLINE","Organic acids and derivatives","Carboxylic acids and derivatives"
"GLYCYL-GLYCINE","Organic acids and derivatives","Carboxylic acids and derivatives"
"2-HYDROXY-3-METHYLPENTANOIC ACID","Lipids and lipid-like molecules","Fatty Acyls"
"ASPARTIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"2-ETHYL-2-HYDROXYBUTYRIC ACID","Lipids and lipid-like molecules","Fatty Acyls"
"2-AMINOBENZOIC ACID","Benzenoids","Benzene and substituted derivatives"
"1-METHYLNICOTINAMIDE","Organoheterocyclic compounds","Pyridines and derivatives"
"UROCANATE","Organoheterocyclic compounds","Azoles"
"KOJIC ACID","Organoheterocyclic compounds","Pyrans"
"3-METHYLGLUTACONIC ACID","Lipids and lipid-like molecules","Fatty Acyls"
"1,5,5-TRIMETHYLHYDANTOIN","Other / Unknown",NA
"INDOLE-3-CARBOXALDEHYDE","Organoheterocyclic compounds","Indoles and derivatives"
"ALPHA-KETOGLUTARIC ACID","Organic acids and derivatives","Keto acids and derivatives"
"3-METHYLGLUTARIC ACID","Lipids and lipid-like molecules","Fatty Acyls"
"ALA-GLY","Organic acids and derivatives","Carboxylic acids and derivatives"
"GLUTAMIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"4-GUANIDINOBUTANOIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"COUMARIN","Phenylpropanoids and polyketides","Coumarins and derivatives"
"CINNAMIC ACID","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"ADIPIC ACID","Lipids and lipid-like molecules","Fatty Acyls"
"TARTARIC ACID","Organic oxygen compounds","Organic oxygen compounds"
"ARABINOSE","Organic oxygen compounds","Organic oxygen compounds"
"2,6-DIHYDROXYBENZOIC ACID","Benzenoids","Benzene and substituted derivatives"
"3-SULFINO-L-ALANINE","Other / Unknown",NA
"METHYL 3-AMINOPYRAZINE-2-CARBOXYLIC ACID","Organic acids and derivatives",NA
"OROTIC ACID","Organoheterocyclic compounds","Diazines"
"TIGLYL GLYCINE","Organic acids and derivatives","Carboxylic acids and derivatives"
"DIHYDROOROTIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"2-OXOADIPATE","Organic acids and derivatives","Keto acids and derivatives"
"3-HYDROXYCINNAMIC ACID","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"PHENYLALANINEPEAK1","Organic acids and derivatives","Carboxylic acids and derivatives"
"7-METHYLXANTHINE","Organoheterocyclic compounds","Imidazopyrimidines"
"3-PHENYLLACTIC ACIDPEAK2","Phenylpropanoids and polyketides","Phenylpropanoic acids"
"3-(3-HYDROXYPHENYL)PROPIONIC ACIDPEAK2","Phenylpropanoids and polyketides","Phenylpropanoic acids"
"URIC ACID","Organoheterocyclic compounds","Imidazopyrimidines"
"THIOPURINE S-METHYLETHER","Organoheterocyclic compounds","Imidazopyrimidines"
"1-METHYLXANTHINE","Organoheterocyclic compounds","Imidazopyrimidines"
"PYRIDINE-2,3-DICARBOXYLIC ACID","Organoheterocyclic compounds","Pyridines and derivatives"
"LUPININE","Alkaloids and derivatives","Lupin alkaloids"
"GLYCEROL 2-PHOSPHATE","Lipids and lipid-like molecules","Glycerophospholipids"
"N-ACETYL-LEUCINE","Other / Unknown",NA
"N-ACETYL-ASPARTIC ACID","Other / Unknown",NA
"ALLANTOIC ACID","Organic acids and derivatives","Carboxylic acids and derivatives"
"N-ALPHA-ACETYL-L-ASPARAGINE","Other / Unknown",NA
"N-FORMYL-METHIONINE","Organic acids and derivatives","Carboxylic acids and derivatives"
"N-ACETYL-L-ASPARTIC ACID","Organic acids and derivatives",NA
"GLUCONO-1,5-LACTONE","Organic oxygen compounds","Organic oxygen compounds"
"HYDROXYPHENYLLACTIC ACID","Phenylpropanoids and polyketides","Phenylpropanoic acids"
"4-O-METHYLPHLORACETOPHENONE","Organic oxygen compounds","Organooxygen compounds"
"THEOBROMINE","Alkaloids and derivatives","none"
"P-CRESOL SULFATE","Organic acids and derivatives","Organic sulfuric acids and derivatives"
"N-ACETYL-METHIONINE","Organic acids and derivatives","Carboxylic acids and derivatives"
"D-(-)-QUINIC ACID","Other / Unknown",NA
"GLUCURONIC ACID","Organic oxygen compounds","Organic oxygen compounds"
"FERULIC ACID","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
