"Sample_name","Metabolite","Metabolite_mode","peak_area_norm","library","Average.Mz"
"Curtido_F_T0_trip1","DIMETHYL SULFOXIDE","DIMETHYL SULFOXIDE_c18neg",1.09431126198711e-05,"MoNA",79.02
"Curtido_F_T0_trip1","2-HYDROXYPYRIDINE","2-HYDROXYPYRIDINE_c18neg",0.000114414150695259,"MoNA",96.0459
"Curtido_F_T0_trip1","1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID","1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID_c18neg",0.00033972502302939,"MoNA",100.0405
"Curtido_F_T0_trip1","2-PIPERIDONE","2-PIPERIDONE_c18neg",9.87867816579363e-07,"MoNA",100.0774
"Curtido_F_T0_trip1","2-AMINOBUTYRIC ACID","2-AMINOBUTYRIC ACID_c18neg",0.00501575612804536,"MoNA",102.0559
"Curtido_F_T0_trip1","MALONIC ACID","MALONIC ACID_c18neg",0.000100442140832388,"MoNA",103.0036
"Curtido_F_T0_trip1","SERINE","SERINE_c18neg",0.00141586290155849,"MoNA",104.0355
"Curtido_F_T0_trip1","GLYCERIC ACID","GLYCERIC ACID_c18neg",0.004324972143916,"MoNA",105.0195
"Curtido_F_T0_trip1","FUMARIC ACID","FUMARIC ACID_c18neg",0.000577249190698198,"MoNA",115.0037
"Curtido_F_T0_trip1","INDOLE","INDOLE_c18neg",0.000314907606909325,"MoNA",116.0503
"Curtido_F_T0_trip1","SUCCINIC ACID","SUCCINIC ACID_c18neg",0.00196174834983724,"MoNA",117.0202
"Curtido_F_T0_trip1","THREONINE","THREONINE_c18neg",0.000702411041287973,"MoNA",120.0672
"Curtido_F_T0_trip1","NICOTINAMIDE","NICOTINAMIDE_c18neg",0.00012574808876584,"MoNA",121.0436
"Curtido_F_T0_trip1","TAURINE","TAURINE_c18neg",5.73300731976987e-08,"MoNA",124.0077
"Curtido_F_T0_trip1","NICOTINATE","NICOTINATE_c18neg",2.45242970320324e-05,"MoNA",124.0407
"Curtido_F_T0_trip1","5,6-DIHYDRO THYMINE","5,6-DIHYDRO THYMINE_c18neg",0.00131590929253949,"MoNA",127.0512
"Curtido_F_T0_trip1","PIPECOLIC ACID","PIPECOLIC ACID_c18neg",0.000679254633333425,"MoNA",128.0708
"Curtido_F_T0_trip1","2-METHYLMALEIC ACID","2-METHYLMALEIC ACID_c18neg",0.00753110872881286,"MoNA",129.0196
"Curtido_F_T0_trip1","4-HYDROXYPROLINE","4-HYDROXYPROLINE_c18neg",0.000152519632139453,"MoNA",130.0511
"Curtido_F_T0_trip1","GLYCYL-GLYCINE","GLYCYL-GLYCINE_c18neg",0.00589980329755066,"MoNA",131.0463
"Curtido_F_T0_trip1","2-HYDROXY-3-METHYLPENTANOIC ACID","2-HYDROXY-3-METHYLPENTANOIC ACID_c18neg",0.000286181936282163,"Sonn",131.0713
"Curtido_F_T0_trip1","ASPARTIC ACID","ASPARTIC ACID_c18neg",0.015425294301335,"MoNA",132.0307
"Curtido_F_T0_trip1","2-ETHYL-2-HYDROXYBUTYRIC ACID","2-ETHYL-2-HYDROXYBUTYRIC ACID_c18neg",0.000436845147530745,"MoNA",133.0816
"Curtido_F_T0_trip1","2-AMINOBENZOIC ACID","2-AMINOBENZOIC ACID_c18neg",0.00111893326538181,"MoNA",136.0409
"Curtido_F_T0_trip1","1-METHYLNICOTINAMIDE","1-METHYLNICOTINAMIDE_c18neg",1.0595132845479e-06,"MoNA",137.0765
"Curtido_F_T0_trip1","UROCANATE","UROCANATE_c18neg",9.29136431497874e-07,"MoNA",139.0517
"Curtido_F_T0_trip1","KOJIC ACID","KOJIC ACID_c18neg",0.00638491538824405,"MoNA",141.0172
"Curtido_F_T0_trip1","3-METHYLGLUTACONIC ACID","3-METHYLGLUTACONIC ACID_c18neg",0.00192501075747053,"MoNA",143.0366
"Curtido_F_T0_trip1","1,5,5-TRIMETHYLHYDANTOIN","1,5,5-TRIMETHYLHYDANTOIN_c18neg",2.36795997615183e-06,"MoNA",143.0824
"Curtido_F_T0_trip1","INDOLE-3-CARBOXALDEHYDE","INDOLE-3-CARBOXALDEHYDE_c18neg",0.0029009019078926,"Sonn",144.0456
"Curtido_F_T0_trip1","ALPHA-KETOGLUTARIC ACID","ALPHA-KETOGLUTARIC ACID_c18neg",0.000621021641177682,"MoNA",145.0144
"Curtido_F_T0_trip1","3-METHYLGLUTARIC ACID","3-METHYLGLUTARIC ACID_c18neg",0.000270353505528421,"MoNA",145.0506
"Curtido_F_T0_trip1","ALA-GLY","ALA-GLY_c18neg",0.0121433375790005,"MoNA",145.0623
"Curtido_F_T0_trip1","GLUTAMIC ACID","GLUTAMIC ACID_c18neg",0.0196816765786515,"MoNA",146.0457
"Curtido_F_T0_trip1","4-GUANIDINOBUTANOIC ACID","4-GUANIDINOBUTANOIC ACID_c18neg",0.00087750084320591,"MoNA",146.0911
"Curtido_F_T0_trip1","COUMARIN","COUMARIN_c18neg",3.94142697700031e-07,"MoNA",147.0435
"Curtido_F_T0_trip1","CINNAMIC ACID","CINNAMIC ACID_c18neg",0.000214270053351582,"MoNA",147.045
"Curtido_F_T0_trip1","ADIPIC ACID","ADIPIC ACID_c18neg",0.000199809511675324,"MoNA",147.0668
"Curtido_F_T0_trip1","TARTARIC ACID","TARTARIC ACID_c18neg",0.0025910750318425,"MoNA",149.0091
"Curtido_F_T0_trip1","ARABINOSE","ARABINOSE_c18neg",0.02923286435582,"MoNA",149.0457
"Curtido_F_T0_trip1","2,6-DIHYDROXYBENZOIC ACID","2,6-DIHYDROXYBENZOIC ACID_c18neg",0.00809331113965874,"MoNA",153.0186
"Curtido_F_T0_trip1","3-SULFINO-L-ALANINE","3-SULFINO-L-ALANINE_c18neg",3.53697032892261e-05,"MoNA",154.0132
"Curtido_F_T0_trip1","METHYL 3-AMINOPYRAZINE-2-CARBOXYLIC ACID","METHYL 3-AMINOPYRAZINE-2-CARBOXYLIC ACID_c18neg",0.00109714474650475,"MoNA",154.0607
"Curtido_F_T0_trip1","OROTIC ACID","OROTIC ACID_c18neg",6.86875729622263e-05,"MoNA",155.0111
"Curtido_F_T0_trip1","TIGLYL GLYCINE","TIGLYL GLYCINE_c18neg",0.000389750680720229,"MoNA",156.0655
"Curtido_F_T0_trip1","DIHYDROOROTIC ACID","DIHYDROOROTIC ACID_c18neg",0.000137375145924453,"MoNA",157.0273
"Curtido_F_T0_trip1","2-OXOADIPATE","2-OXOADIPATE_c18neg",7.48430738109038e-05,"MoNA",159.0299
"Curtido_F_T0_trip1","3-HYDROXYCINNAMIC ACID","3-HYDROXYCINNAMIC ACID_c18neg",9.99220202588281e-07,"MoNA",163.0397
"Curtido_F_T0_trip1","PHENYLALANINEPEAK1","PHENYLALANINEPEAK1_c18neg",0.000501233640535165,"Sonn",164.0716
"Curtido_F_T0_trip1","7-METHYLXANTHINE","7-METHYLXANTHINE_c18neg",0.0170158561793607,"MoNA",165.0414
"Curtido_F_T0_trip1","3-PHENYLLACTIC ACIDPEAK2","3-PHENYLLACTIC ACIDPEAK2_c18neg",4.81692367999681e-05,"Sonn",165.0532
"Curtido_F_T0_trip1","3-(3-HYDROXYPHENYL)PROPIONIC ACIDPEAK2","3-(3-HYDROXYPHENYL)PROPIONIC ACIDPEAK2_c18neg",1.05522871691614e-05,"Sonn",165.0554
"Curtido_F_T0_trip1","URIC ACID","URIC ACID_c18neg",9.99224600351665e-07,"MoNA",167.0227
"Curtido_F_T0_trip1","THIOPURINE S-METHYLETHER","THIOPURINE S-METHYLETHER_c18neg",0.00431764416671519,"MoNA",167.0443
"Curtido_F_T0_trip1","1-METHYLXANTHINE","1-METHYLXANTHINE_c18neg",1.04951610923884e-06,"MoNA",167.0576
"Curtido_F_T0_trip1","PYRIDINE-2,3-DICARBOXYLIC ACID","PYRIDINE-2,3-DICARBOXYLIC ACID_c18neg",0.00032076998866997,"MoNA",168.0282
"Curtido_F_T0_trip1","LUPININE","LUPININE_c18neg",0.000153203576678195,"MoNA",170.1554
"Curtido_F_T0_trip1","GLYCEROL 2-PHOSPHATE","GLYCEROL 2-PHOSPHATE_c18neg",2.16908125143873e-05,"MoNA",171.0062
"Curtido_F_T0_trip1","N-ACETYL-LEUCINE","N-ACETYL-LEUCINE_c18neg",4.53357522823229e-05,"Sonn",172.0978
"Curtido_F_T0_trip1","N-ACETYL-ASPARTIC ACID","N-ACETYL-ASPARTIC ACID_c18neg",0.000292142024405486,"MoNA",174.0402
"Curtido_F_T0_trip1","ALLANTOIC ACID","ALLANTOIC ACID_c18neg",0.000644861993670973,"MoNA",175.0523
"Curtido_F_T0_trip1","N-ALPHA-ACETYL-L-ASPARAGINE","N-ALPHA-ACETYL-L-ASPARAGINE_c18neg",4.279538685271e-05,"MoNA",175.0723
"Curtido_F_T0_trip1","N-FORMYL-METHIONINE","N-FORMYL-METHIONINE_c18neg",9.88874756857716e-07,"Sonn",176.0387
"Curtido_F_T0_trip1","N-ACETYL-L-ASPARTIC ACID","N-ACETYL-L-ASPARTIC ACID_c18neg",1.20178826093227e-05,"MoNA",176.0559
"Curtido_F_T0_trip1","GLUCONO-1,5-LACTONE","GLUCONO-1,5-LACTONE_c18neg",0.000322430996835486,"MoNA",177.0405
"Curtido_F_T0_trip1","HYDROXYPHENYLLACTIC ACID","HYDROXYPHENYLLACTIC ACID_c18neg",5.772248696304e-08,"Sonn",181.0501
"Curtido_F_T0_trip1","4-O-METHYLPHLORACETOPHENONE","4-O-METHYLPHLORACETOPHENONE_c18neg",9.31046995197146e-07,"MoNA",181.0503
"Curtido_F_T0_trip1","THEOBROMINE","THEOBROMINE_c18neg",0.00090212284660062,"MoNA",181.0726
"Curtido_F_T0_trip1","P-CRESOL SULFATE","P-CRESOL SULFATE_c18neg",1.02273728087883e-06,"MoNA",187.007
"Curtido_F_T0_trip1","N-ACETYL-METHIONINE","N-ACETYL-METHIONINE_c18neg",0.000100832966283098,"Sonn",190.0545
"Curtido_F_T0_trip1","D-(-)-QUINIC ACID","D-(-)-QUINIC ACID_c18neg",0.0441165722888341,"MoNA",191.0568
"Curtido_F_T0_trip1","GLUCURONIC ACID","GLUCURONIC ACID_c18neg",0.00895390878212145,"MoNA",193.0363
"Curtido_F_T0_trip1","FERULIC ACID","FERULIC ACID_c18neg",0.000386330958026519,"MoNA",193.0511
"Curtido_F_T0_trip1","FERULIC ACIDPEAK1","FERULIC ACIDPEAK1_c18neg",1.17247635212904e-05,"Sonn",193.0518
"Curtido_F_T0_trip1","HYDROXYCOTININE","HYDROXYCOTININE_c18neg",0.00567605572701937,"MoNA",193.1032
"Curtido_F_T0_trip1","GLUCONIC ACID","GLUCONIC ACID_c18neg",0.0328997841471036,"MoNA",195.0514
"Curtido_F_T0_trip1","XANTHOXYLIN","XANTHOXYLIN_c18neg",0.000197659971696421,"MoNA",195.0665
"Curtido_F_T0_trip1","INDOLEPYRUVIC ACID","INDOLEPYRUVIC ACID_c18neg",0.0003582892319381,"MoNA",202.049
"Curtido_F_T0_trip1","ACETYL-CARNITINE","ACETYL-CARNITINE_c18neg",9.74094388645426e-07,"MoNA",202.1084
"Curtido_F_T0_trip1","TRYPTOPHAN","TRYPTOPHAN_c18neg",0.00360096799647632,"MoNA",203.0829
"Curtido_F_T0_trip1","1-[4-HYDROXY-3-(3-METHYLBUT-2-ENYL)PHENYL]ETHANONE","1-[4-HYDROXY-3-(3-METHYLBUT-2-ENYL)PHENYL]ETHANONE_c18neg",1.10408189825485e-05,"MoNA",203.1034
"Curtido_F_T0_trip1","5-METHOXY-3-INDOLEACETIC ACID","5-METHOXY-3-INDOLEACETIC ACID_c18neg",3.39041078490648e-05,"Sonn",204.0671
"Curtido_F_T0_trip1","ALPHA-LIPOIC ACID","ALPHA-LIPOIC ACID_c18neg",0.000190722819946324,"MoNA",205.0362
"Curtido_F_T0_trip1","LIPOAMIDE","LIPOAMIDE_c18neg",8.04640003837906e-08,"MoNA",206.0673
"Curtido_F_T0_trip1","N-ACETYL-PHENYLALANINE","N-ACETYL-PHENYLALANINE_c18neg",2.26678761411615e-05,"Sonn",206.0822
"Curtido_F_T0_trip1","N-ACETYLPHENYLALANINE","N-ACETYLPHENYLALANINE_c18neg",1.01692142981928e-06,"MoNA",208.0979
"Curtido_F_T0_trip1","SACCHARIC ACID","SACCHARIC ACID_c18neg",0.00186521446351195,"MoNA",209.0311
"Curtido_F_T0_trip1","INDOXYL-SULFATE","INDOXYL-SULFATE_c18neg",0.000209970973393776,"MoNA",211.9974
"Curtido_F_T0_trip1","SCOPOLETIN","SCOPOLETIN_c18neg",0.0215460116848993,"MoNA",215.0334
"Curtido_F_T0_trip1","5-KETO-GLUCONIC ACID","5-KETO-GLUCONIC ACID_c18neg",0.00707657872963751,"MoNA",217.0315
"Curtido_F_T0_trip1","SPHONDIN","SPHONDIN_c18neg",1.11219735844986e-06,"MoNA",217.0484
"Curtido_F_T0_trip1","O-SUCCINYL-HOMOSERINE","O-SUCCINYL-HOMOSERINE_c18neg",4.61174031837423e-05,"MoNA",218.0676
"Curtido_F_T0_trip1","PANTOTHENIC ACID","PANTOTHENIC ACID_c18neg",0.000184665025460324,"Sonn",218.1035
"Curtido_F_T0_trip1","ZEATIN","ZEATIN_c18neg",1.07476998945162e-05,"MoNA",218.1041
"Curtido_F_T0_trip1","N-ACETYL-GALACTOSAMINE","N-ACETYL-GALACTOSAMINE_c18neg",9.7839341818675e-07,"MoNA",220.0837
"Curtido_F_T0_trip1","5-ACETYLAMINO-6-AMINO-3-METHYLURACIL [M+NA]+","5-ACETYLAMINO-6-AMINO-3-METHYLURACIL [M+NA]+_c18neg",0.000231075547732099,"MoNA",221.0688
"Curtido_F_T0_trip1","N-ACETYL-TYROSINE","N-ACETYL-TYROSINE_c18neg",0.000701727096749231,"MoNA",222.0777
"Curtido_F_T0_trip1","RETICULOL","RETICULOL_c18neg",2.73577815496776e-05,"MoNA",223.0589
"Curtido_F_T0_trip1","ISOFRAXIDIN","ISOFRAXIDIN_c18neg",9.85493215856414e-07,"MoNA",223.0606
"Curtido_F_T0_trip1","SINAPIC ACID","SINAPIC ACID_c18neg",1.11385253452259e-05,"MoNA",223.0607
"Curtido_F_T0_trip1","GENIPIN","GENIPIN_c18neg",0.000180463651865195,"MoNA",225.0768
"Curtido_F_T0_trip1","3-HYDROXYKYNURENINE","3-HYDROXYKYNURENINE_c18neg",1.15293507959356e-05,"MoNA",225.087
"Curtido_F_T0_trip1","3-NITRO-TYROSINE","3-NITRO-TYROSINE_c18neg",0.000154962291206388,"MoNA",227.0664
"Curtido_F_T0_trip1","FRAXINELLONE","FRAXINELLONE_c18neg",0.00171630996679156,"MoNA",233.1177
"Curtido_F_T0_trip1","6-HYDROXYFLAVONE","6-HYDROXYFLAVONE_c18neg",0.000974230142256556,"MoNA",237.0624
"Curtido_F_T0_trip1","DANTHRON","DANTHRON_c18neg",9.82076787821254e-07,"MoNA",239.0314
"Curtido_F_T0_trip1","2',4'-DIHYDROXYCHALCONE","2',4'-DIHYDROXYCHALCONE_c18neg",0.000175676040094001,"MoNA",239.0782
"Curtido_F_T0_trip1","CYTIDINE","CYTIDINE_c18neg",0.000257456265655002,"Sonn",242.0786
"Curtido_F_T0_trip1","SUBEROSIN","SUBEROSIN_c18neg",0.000230000777742647,"MoNA",245.1169
"Curtido_F_T0_trip1","PRENYLETIN","PRENYLETIN_c18neg",0.000118615524290388,"MoNA",247.0937
"Curtido_F_T0_trip1","RIBOSE 5-PHOSPHATE","RIBOSE 5-PHOSPHATE_c18neg",0.000144800829487937,"MoNA",253.0096
"Curtido_F_T0_trip1","NEBULARINE","NEBULARINE_c18neg",2.90187897151938e-05,"MoNA",253.0949
"Curtido_F_T0_trip1","9-METHOXY-2,2-DIMETHYL-6-HYDRO-2H-PYRANO[5,6-C]QUINOLIN-5-ONE","9-METHOXY-2,2-DIMETHYL-6-HYDRO-2H-PYRANO[5,6-C]QUINOLIN-5-ONE_c18neg",6.34489134466232e-08,"MoNA",256.0969
"Curtido_F_T0_trip1","GLUCOSAMINE 6-PHOSPHATE","GLUCOSAMINE 6-PHOSPHATE_c18neg",9.86439701299925e-07,"MoNA",258.0386
"Curtido_F_T0_trip1","FRUCTOSE 6-PHOSPHATE","FRUCTOSE 6-PHOSPHATE_c18neg",0.000838320591772264,"MoNA",259.0225
"Curtido_F_T0_trip1","SKIMMIANINE","SKIMMIANINE_c18neg",0.00012535726331513,"MoNA",260.0873
"Curtido_F_T0_trip1","KHELLIN","KHELLIN_c18neg",0.000166491642002324,"MoNA",261.0729
"Curtido_F_T0_trip1","(9E)-11A-HYDROXY-3,6,10-TRIMETHYL-6,7,8,11-TETRAHYDRO-4H-CYCLODECA[B]FURAN-2,5-DIONE","(9E)-11A-HYDROXY-3,6,10-TRIMETHYL-6,7,8,11-TETRAHYDRO-4H-CYCLODECA[B]FURAN-2,5-DIONE_c18neg",8.03146301208393e-05,"MoNA",263.1294
"Curtido_F_T0_trip1","INOSINE","INOSINE_c18neg",0.000280319554521518,"MoNA",267.073
"Curtido_F_T0_trip1","3-{[(7-METHOXY-2-OXOCHROMEN-4-YL)METHYL]METHYLAMINO}PROPANENITRILE","3-{[(7-METHOXY-2-OXOCHROMEN-4-YL)METHYL]METHYLAMINO}PROPANENITRILE_c18neg",1.14316444332582e-05,"MoNA",271.105
"Curtido_F_T0_trip1","7,8-BENZOFLAVONE","7,8-BENZOFLAVONE_c18neg",1.31903589614517e-05,"MoNA",273.0921
"Curtido_F_T0_trip1","7-ETHENYL-1,4A,7-TRIMETHYL-3,4,6,8,8A,9,10,10A-OCTAHYDRO-2H-PHENANTHRENE-1-CARBOXYLIC ACID","7-ETHENYL-1,4A,7-TRIMETHYL-3,4,6,8,8A,9,10,10A-OCTAHYDRO-2H-PHENANTHRENE-1-CARBOXYLIC ACID_c18neg",0.000385940132575809,"MoNA",274.1056
"Curtido_F_T0_trip1","(E,E)-PIPERLONGUMININE","(E,E)-PIPERLONGUMININE_c18neg",0.000127702216019388,"MoNA",274.1409
"Curtido_F_T0_trip1","(1S,4S,8R,14S)-11-ETHYL-12-OXO-7,9,13-TRIOXATETRACYCLO[6.5.1.0??,?????.0???,?????]TETRADECA-2,5-DIENE-5-CARBOXYLIC ACID","(1S,4S,8R,14S)-11-ETHYL-12-OXO-7,9,13-TRIOXATETRACYCLO[6.5.1.0??,?????.0???,?????]TETRADECA-2,5-DIENE-5-CARBOXYLIC ACID_c18neg",0.000484037320703939,"MoNA",277.0762
"Curtido_F_T0_trip1","LINOLENIC ACID","LINOLENIC ACID_c18neg",0.00250782921084134,"MoNA",277.2173
"Curtido_F_T0_trip1","3-(5,7-DIMETHOXY-4-OXOCHROMEN-2-YL)PROPANOIC ACID","3-(5,7-DIMETHOXY-4-OXOCHROMEN-2-YL)PROPANOIC ACID_c18neg",1.00226107765428e-06,"MoNA",279.0909
"Curtido_F_T0_trip1","ASP-PHE","ASP-PHE_c18neg",9.40111773929363e-07,"Sonn",279.0979
"Curtido_F_T0_trip1","1-METHYLADENOSINE","1-METHYLADENOSINE_c18neg",1.14261684313087e-06,"MoNA",280.1044
"Curtido_F_T0_trip1","FISETIN","FISETIN_c18neg",0.00012535726331513,"MoNA",285.0425
"Curtido_F_T0_trip1","3(4'-CHLOROPHENYL)-4,6-DIMETHYLCOUMARIN","3(4'-CHLOROPHENYL)-4,6-DIMETHYLCOUMARIN_c18neg",2.72600751870002e-05,"MoNA",285.062
"Curtido_F_T0_trip1","KAEMPFEROL","KAEMPFEROL_c18neg",2.23747570531292e-05,"MoNA",287.051
"Curtido_F_T0_trip1","SEDOHEPTULOSE 7-PHOSPHATE","SEDOHEPTULOSE 7-PHOSPHATE_c18neg",0.000181636128217324,"MoNA",289.0334
