#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	EKR-Exp08-HFD-11_L001_db1.metaphlan	EKR-Exp08-HFD-03_L001_db1.metaphlan	EKR-Exp08-HFD-18_L001_db1.metaphlan	EKR-Exp08-HFD-13_L001_db1.metaphlan	EKR-Exp08-HFD-17_L001_db1.metaphlan	EKR-Exp08-HFD-20_L001_db1.metaphlan	EKR-Exp08-HFD-16_L001_db1.metaphlan	EKR-Exp08-HFD-05_L001_db1.metaphlan	EKR-Exp08-HFD-15_L001_db1.metaphlan	EKR-Exp08-HFD-02_L001_db1.metaphlan	EKR-Exp08-HFD-19_L001_db1.metaphlan	EKR-Exp08-HFD-21_L001_db1.metaphlan	EKR-Exp03-CONV-04_L001_db1.metaphlan	EKR-Exp03-CONV-08_L001_db1.metaphlan	EKR-Exp08-HFD-12_L001_db1.metaphlan	EKR-Exp03-CONV-02_L001_db1.metaphlan	EKR-Exp08-HFD-10_L001_db1.metaphlan	EKR-Exp08-HFD-23_L001_db1.metaphlan	EKR-Exp08-HFD-01_L001_db1.metaphlan	EKR-Exp08-HFD-07_L001_db1.metaphlan	EKR-Exp03-CONV-05_L001_db1.metaphlan	EKR-Exp03-CONV-09_L001_db1.metaphlan	EKR-Exp03-CONV-03_L001_db1.metaphlan	EKR-Exp08-HFD-22_L001_db1.metaphlan	EKR-Exp08-HFD-06_L001_db1.metaphlan	EKR-Exp08-HFD-08_L001_db1.metaphlan	EKR-Exp03-CONV-06_L001_db1.metaphlan	EKR-Exp08-HFD-09_L001_db1.metaphlan	EKR-Exp03-CONV-01_L001_db1.metaphlan	EKR-Exp08-HFD-14_L001_db1.metaphlan	EKR-Exp08-HFD-04_L001_db1.metaphlan	EKR-Exp08-HFD-24_L001_db1.metaphlan	EKR-Exp03-CONV-10_L001_db1.metaphlan	EKR-Exp03-CONV-07_L001_db1.metaphlan
k__Bacteria	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Bacteria|p__Firmicutes	79.80699	89.79177	87.89643	86.33917	85.21059	80.49711	85.59466	84.26948	92.32928	84.27876	76.17606	88.29978	89.70163	76.73011	84.37314	85.09845	93.33157	89.35243	82.08519	80.72514	86.41473	68.01313	77.4234	87.88255	84.67957	84.16227	85.30888	83.64749	82.43861	83.96557	88.32412	86.25018	77.78487	69.23353
k__Bacteria|p__Verrucomicrobiota	11.31135	6.27619	7.75106	9.81249	9.15514	8.15342	10.25121	9.64619	4.93883	9.161	7.31465	8.41378	0.15228	1.04957	6.80225	0.62316	4.23085	5.56826	10.55688	9.14587	0.5398	2.11539	0.1294	7.80089	5.18182	6.18344	2.46355	6.43118	0.61733	9.72016	6.86055	6.31734	0.84136	3.06775
k__Bacteria|p__Bacteroidota	8.51424	3.76134	4.03511	3.67996	5.27905	11.2069	3.91409	5.90976	2.59132	6.31416	16.21293	2.98213	7.37999	17.54812	8.63754	10.89335	2.25937	4.96274	7.14687	9.9217	11.80795	26.61848	20.60907	4.15238	9.98436	9.51364	8.89713	9.77682	14.5901	6.18885	4.56632	7.33431	19.09948	26.66699
k__Bacteria|p__Bacteria_unclassified	0.18737	0.11841	0.0661	0.02523	0.09798	0.06655	0.06417	0.05625	0.05112	0.09163	0.15673	0.12792	0.09529	0.10537	0.09209	0.14244	0.06102	0.05121	0.07597	0.10593	0.10579	0.04014	0.09756	0.05207	0.07919	0.09061	0.10831	0.09153	0.11282	0.04969	0.09797	0.03718	0.05876	0.06072
k__Bacteria|p__Actinomycetota	0.16989	0.0523	0.13211	0.10855	0.19097	0.07602	0.16561	0.07049	0.08609	0.15445	0.13963	0.17638	0.08876	0.08146	0.09498	0.23516	0.05065	0.05258	0.10381	0.0475	0.21841	0.20658	0.1517	0.07549	0.05035	0.02572	0.20618	0.04714	0.08723	0.06494	0.14741	0.04481	0.19493	0.17665
k__Bacteria|p__Mycoplasmatota	0.01015	0.0	0.11919	0.03461	0.06626	0.0	0.01026	0.04783	0.00336	0.0	0.0	0.0	2.58206	4.48537	0.0	3.00743	0.06528	0.0	0.03129	0.05385	0.91333	3.00629	1.58886	0.0	0.02471	0.02433	3.01594	0.00584	2.1539	0.0108	0.00362	0.0	2.02061	0.79436
k__Bacteria|p__Firmicutes|c__Clostridia	69.72728	73.97001	77.26121	77.51402	74.5175	61.36199	76.45525	74.83087	76.72918	70.87744	54.22063	69.78404	70.30151	55.27554	74.258	67.5571	84.09026	78.11537	73.63605	64.02827	71.36284	49.49834	60.64439	77.59913	74.79912	67.32201	60.54278	68.65321	62.67183	74.2352	76.87338	74.63077	62.30912	49.4451
k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia	11.31135	6.27619	7.75106	9.81249	9.15514	8.15342	10.25121	9.64619	4.93883	9.161	7.31465	8.41378	0.15228	1.04957	6.80225	0.62316	4.23085	5.56826	10.55688	9.14587	0.5398	2.11539	0.1294	7.80089	5.18182	6.18344	2.46355	6.43118	0.61733	9.72016	6.86055	6.31734	0.84136	3.06775
k__Bacteria|p__Bacteroidota|c__Bacteroidia	8.51424	3.76134	4.03511	3.67996	5.27905	11.2069	3.91409	5.90976	2.59132	6.31416	16.21293	2.98213	7.37999	17.54812	8.63754	10.89335	2.25937	4.96274	7.14687	9.9217	11.80795	26.61848	20.60907	4.15238	9.98436	9.51364	8.89713	9.77682	14.5901	6.18885	4.56632	7.33431	19.09948	26.66699
k__Bacteria|p__Firmicutes|c__Bacillota_unclassified	2.34675	9.95475	2.0981	2.39409	2.13005	1.72831	1.25907	3.55115	4.04508	5.37458	2.13654	3.82636	2.5951	1.90149	4.78496	3.24413	2.62789	2.50098	2.3463	2.24592	3.47571	1.51986	4.49539	2.74027	3.2901	3.53559	3.01509	4.49623	2.82581	1.93575	2.43535	2.23134	3.7542	3.75657
k__Bacteria|p__Firmicutes|c__CFGB72709	1.71102	1.01925	1.29505	1.23697	1.29429	3.4031	0.83656	1.10884	0.8155	1.21956	2.48265	1.35766	0.07509	0.04571	0.911	0.12251	0.88488	1.29941	1.20631	1.11666	0.10638	0.14326	0.09735	1.15007	1.06707	1.4377	0.13458	0.37804	0.13928	1.58047	0.85897	2.0326	0.07397	0.09789
k__Bacteria|p__Firmicutes|c__Bacilli	1.69029	0.82327	1.42731	0.77663	1.36411	0.92663	1.1168	0.93437	1.27584	1.85891	2.44537	2.1785	0.27222	0.00147	1.35814	0.07355	0.37673	0.92984	0.91586	1.51171	0.51977	0.19969	0.09767	1.64734	0.79781	1.51975	0.06588	1.44103	0.05303	1.10908	3.57383	0.6718	0.11024	0.16024
k__Bacteria|p__Firmicutes|c__CFGB9633	0.77799	0.7205	0.35906	0.30779	0.72722	0.55547	0.64315	0.60618	0.18181	0.46142	0.79641	0.6552	2.8394	1.66181	0.41418	0.99086	0.83621	0.0	0.64794	0.65854	0.76394	1.23428	0.79161	0.0	0.65589	0.86064	0.84077	0.93609	2.22311	0.31164	0.65511	0.00027	1.44011	0.64738
k__Bacteria|p__Firmicutes|c__CFGB28941	0.66209	0.21261	0.0431	0.06363	0.00665	1.21535	0.17748	0.12979	5.20813	1.54686	2.25682	1.29052	0.10773	0.06932	0.16653	0.06601	3.04564	2.56092	0.19716	0.23978	0.12148	0.04781	0.14087	1.39413	0.00937	1.10162	0.19094	0.35021	0.06458	0.19083	0.29703	1.44604	0.1179	0.02435
k__Bacteria|p__Firmicutes|c__CFGB9656	0.62083	0.15829	2.12996	1.76965	1.48246	0.71259	1.65947	0.84938	0.72707	0.23614	0.65319	0.94094	0.12703	0.0	0.03173	0.00992	0.0	0.83521	0.96172	0.65393	0.07583	0.00093	0.00092	0.97717	2.87597	0.89833	0.00051	0.81613	0.00932	1.95193	2.05811	1.1473	0.15871	0.0
k__Bacteria|p__Firmicutes|c__CFGB93792	0.50048	0.5396	0.38726	0.28724	0.4788	0.62646	0.24494	0.58276	0.29421	0.37807	0.39893	0.71842	0.0001	0.01764	0.37354	0.0	0.10485	0.38825	0.38912	0.49581	0.01851	0.01275	0.05191	0.19891	0.48408	0.60249	0.05433	0.34469	0.0673	0.69367	0.33753	0.38153	0.04067	0.02318
k__Bacteria|p__Firmicutes|c__CFGB1765	0.47937	0.14801	0.61995	0.18	0.26869	3.30106	0.33139	0.28565	0.23834	0.17354	2.25402	0.81799	0.65177	1.50169	0.33015	0.64848	0.04347	0.37501	0.31768	3.01982	1.14881	1.26158	1.59332	0.40208	0.02948	0.43452	3.5613	0.23734	1.01291	0.36135	0.11766	1.23085	1.12485	1.87824
k__Bacteria|p__Firmicutes|c__CFGB31455	0.28099	0.90543	0.0	0.03064	0.09283	0.0344	0.0	0.0	0.15088	0.67077	0.07861	1.00452	0.96781	1.9924	0.49624	1.1053	0.12088	0.55847	0.00436	0.15434	1.17248	1.64003	1.12793	0.80234	0.0	0.20397	1.73168	0.23564	0.70576	0.07186	0.0	0.51513	1.11454	0.88829
k__Bacteria|p__Firmicutes|c__CFGB12479	0.23213	0.13184	0.13322	0.11029	0.1401	0.1878	0.27914	0.12504	0.3103	0.15775	0.14774	0.13071	0.15543	0.0391	0.12845	0.03338	0.58541	0.17156	0.15789	0.19336	0.09147	0.00329	0.08652	0.11565	0.07356	0.43933	0.0	0.21847	0.14377	0.08934	0.08515	0.14186	0.04371	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	0.20157	0.12807	1.35261	1.18186	1.76109	2.07669	1.21712	0.32303	1.33271	0.20795	4.03862	2.72522	0.13867	0.27661	0.14562	0.62107	0.06199	0.25822	0.30244	0.3123	0.90569	1.01331	0.66879	0.31483	0.07281	0.16991	0.28376	0.26394	0.31144	0.76745	0.37114	0.30298	1.11105	1.13106
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	0.18737	0.11841	0.0661	0.02523	0.09798	0.06655	0.06417	0.05625	0.05112	0.09163	0.15673	0.12792	0.09529	0.10537	0.09209	0.14244	0.06102	0.05121	0.07597	0.10593	0.10579	0.04014	0.09756	0.05207	0.07919	0.09061	0.10831	0.09153	0.11282	0.04969	0.09797	0.03718	0.05876	0.06072
k__Bacteria|p__Actinomycetota|c__Coriobacteriia	0.16989	0.0523	0.1254	0.10855	0.18612	0.07568	0.16119	0.05834	0.08609	0.15445	0.1342	0.16684	0.08876	0.08146	0.09498	0.23516	0.05065	0.05258	0.08342	0.0475	0.21841	0.20658	0.1517	0.07299	0.03476	0.02572	0.20618	0.04714	0.08723	0.06494	0.12794	0.04481	0.19493	0.17665
k__Bacteria|p__Firmicutes|c__CFGB9575	0.10804	0.6188	0.28196	0.12536	0.59448	0.15687	0.98043	0.4969	0.0615	0.69728	0.10802	0.07598	0.0	0.0	0.57913	0.0	0.04895	0.01148	0.4872	0.01175	0.0	0.0	0.0	0.05058	0.2276	0.01983	0.0	0.05681	0.0	0.01357	0.20074	0.05108	0.00178	0.01081
k__Bacteria|p__Firmicutes|c__CFGB77250	0.09399	0.1843	0.08816	0.0315	0.07286	0.04679	0.02059	0.22339	0.04054	0.07929	0.04785	0.05802	0.33012	0.01147	0.13484	0.04269	0.1357	0.19183	0.16598	0.03615	0.04782	0.01833	0.0588	0.07676	0.12814	0.12888	0.0	0.25587	0.06371	0.07184	0.05188	0.09538	0.04718	0.00857
k__Bacteria|p__Firmicutes|c__CFGB10318	0.09029	0.0	0.0	0.0	0.0	0.0495	0.0	0.03617	0.01077	0.04111	0.16933	0.13556	0.10114	0.06879	0.00624	0.41266	0.0	0.00822	0.03605	0.0021	0.17815	0.22995	0.30171	0.00116	0.0	0.00059	0.2083	0.0	0.19564	0.06414	0.0	0.01824	0.27289	0.22015
k__Bacteria|p__Firmicutes|c__CFGB9827	0.07922	0.09604	0.06847	0.07531	0.082	0.08855	0.08528	0.06997	0.08254	0.1261	0.11301	0.11046	0.05549	0.01409	0.11471	0.26364	0.08105	0.11416	0.08122	0.07941	0.25499	0.12826	0.08671	0.09245	0.04575	0.08374	0.12386	0.11807	0.10346	0.07004	0.06431	0.08926	0.11382	0.08453
k__Bacteria|p__Firmicutes|c__CFGB78699	0.06127	0.06212	0.01061	0.00782	0.01518	0.05181	0.0285	0.01262	0.03378	0.06367	0.04101	0.07429	0.03837	0.02007	0.04245	0.12071	0.00898	0.03744	0.01711	0.04127	0.112	0.06881	0.10644	0.00594	0.02215	0.05328	0.0903	0.05138	0.05255	0.02295	0.01726	0.03094	0.0463	0.0908
k__Bacteria|p__Firmicutes|c__CFGB73497	0.06071	0.01505	0.06039	0.04139	0.09295	0.38171	0.0419	0.01359	0.17246	0.01753	0.53149	0.46467	0.0831	0.08656	0.01128	0.05881	0.01176	0.02803	0.03248	0.1957	0.03805	0.05943	0.11849	0.0134	0.01036	0.18545	0.34467	0.0644	0.06211	0.16329	0.0161	0.03155	0.04768	0.12749
